Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR6728143_1	31.282362888227766	38.0	197.92068398671734	10.0	3215618.0
SRR6728143_2	29.200003074058685	39.0	202.17429682257034	20.0	3215618.0
SRR6728144_1	33.55858440050375	38.0	177.53346757096077	10.0	4346521.0
SRR6728144_2	31.043752509335192	39.0	181.9160326155102	20.0	4346521.0
SRR6728145_1	33.44409229420546	38.0	192.9396297675639	10.0	3917593.0
SRR6728145_2	31.736877361419204	38.0	196.1022523268752	20.0	3917593.0
SRR6728146_1	26.94275507846173	38.0	237.07061718819108	10.0	2588789.0
SRR6728146_2	23.57120868562798	38.0	239.1899177569126	20.0	2588789.0
SRR6728147_1	31.152700492753752	38.0	207.06160442509739	10.0	3360830.0
SRR6728147_2	29.030163391222843	39.0	211.21883463311147	20.0	3360830.0
SRR6728148_1	34.7110483963381	38.0	235.93194567889324	10.0	3400078.0
SRR6728148_2	31.141225360349623	39.0	239.80721824616964	20.0	3400078.0
